,Permutation Importance
AgeCategory_80 or older,0.02694063926940643
AgeCategory_75-79,0.02228310502283104
AgeCategory_70-74,0.01771689497716894
GenHealth_Excellent,0.014977168949771691
Sex_Female,0.014703196347031988
Stroke_Yes,0.007671232876712342
AgeCategory_65-69,0.006027397260273959
GenHealth_Very good,0.005662100456621022
Smoking_No,0.0045662100456621
Diabetic_Yes,0.004200913242009108
DiffWalking_Yes,0.0041095890410958735
AgeCategory_60-64,0.004018264840182639
GenHealth_Poor,0.003424657534246589
AgeCategory_35-39,0.0030593607305935966
GenHealth_Fair,0.0030136986301370072
AgeCategory_40-44,0.00260273972602737
AgeCategory_25-29,0.002374429223744312
AgeCategory_18-24,0.0023287671232876672
AgeCategory_30-34,0.0016438356164383827
Sex_Male,0.0014155251141552694
Stroke_No,0.0007305936073059849
PhysicalHealth,0.00068493150684934
KidneyDisease_Yes,0.0005479452054794054
Race_Asian,0.00045662100456617116
Race_White,0.00036529680365299244
KidneyDisease_No,0.00022831050228311334
AgeCategory_50-54,0.0001369863013698791
Smoking_Yes,4.566210045658936e-05
GenHealth_Good,0.0
PhysicalActivity_Yes,0.0
Diabetic_Yes (during pregnancy),0.0
"Diabetic_No, borderline diabetes",0.0
SkinCancer_Yes,0.0
Race_Black,0.0
Race_American Indian/Alaskan Native,0.0
AgeCategory_45-49,0.0
Race_Other,0.0
AlcoholDrinking_No,0.0
MentalHealth,0.0
Asthma_No,-4.566210045664487e-05
Asthma_Yes,-4.566210045664487e-05
SleepTime,-9.132420091323423e-05
DiffWalking_No,-0.0001369863013698791
AgeCategory_55-59,-0.0001369863013698791
SkinCancer_No,-0.00022831050228311334
PhysicalActivity_No,-0.00036529680365299244
AlcoholDrinking_Yes,-0.00036529680365299244
Race_Hispanic,-0.0007305936073059294
BMI,-0.0012785388127853348
Diabetic_No,-0.0013698630136986245
