,Permutation Importance
AgeCategory_80 or older,0.031187214611872127
Diabetic_Yes,0.031141552511415538
AgeCategory_75-79,0.01744292237442918
Stroke_Yes,0.015114155251141514
AgeCategory_70-74,0.01242009132420091
Sex_Male,0.010502283105022825
GenHealth_Good,0.010365296803652946
Smoking_Yes,0.008949771689497732
AgeCategory_65-69,0.007442922374429228
PhysicalHealth,0.006940639269406357
GenHealth_Poor,0.006666666666666654
DiffWalking_Yes,0.006392694063926896
GenHealth_Fair,0.006347031963470251
AgeCategory_35-39,0.0034703196347031784
MentalHealth,0.003105022831050186
AgeCategory_30-34,0.002968036529680307
KidneyDisease_Yes,0.002465753424657491
SleepTime,0.002420091324200846
BMI,0.002009132420091264
AgeCategory_25-29,0.0014155251141552139
GenHealth_Very good,0.001369863013698569
AgeCategory_45-49,0.0013242009132420351
AgeCategory_55-59,0.0012328767123287454
Race_White,0.0007762557077625742
Asthma_Yes,0.0007762557077625187
"Diabetic_No, borderline diabetes",0.00068493150684934
AgeCategory_40-44,0.0006849315068492845
SkinCancer_Yes,0.00031963470319634757
AgeCategory_60-64,0.0002739726027397027
AlcoholDrinking_Yes,0.00022831050228311334
Race_Other,0.0
Race_Hispanic,-4.566210045664487e-05
Diabetic_Yes (during pregnancy),-4.566210045664487e-05
Race_Asian,-0.0001369863013698791
PhysicalActivity_Yes,-0.00022831050228311334
AgeCategory_50-54,-0.00022831050228311334
Race_Black,-0.0004109589041095818
