,Coefficient
AgeCategory_80 or older,1.3855875331238217
AgeCategory_75-79,1.0131045653401838
AgeCategory_70-74,0.7241951522744401
AgeCategory_65-69,0.5819512567108092
GenHealth_Fair,0.5780712802591159
GenHealth_Poor,0.5612236091416847
Stroke_Yes,0.5346291348244883
Race_Other,0.4387040044637107
AgeCategory_60-64,0.40051010447399715
Sex_Male,0.27455409435614353
Smoking_Yes,0.19388224237522422
Diabetic_Yes,0.19276155024821673
KidneyDisease_Yes,0.17164299230133473
Asthma_Yes,0.16980011686276697
Diabetic_Yes (during pregnancy),0.14272195434855006
MentalHealth,0.13932209308661728
Race_American Indian/Alaskan Native,0.13226753174875094
GenHealth_Good,0.1315742156446973
SleepTime,0.12709983296682947
BMI,0.10829484379231846
PhysicalHealth,0.07068570188135981
PhysicalActivity_No,0.06548362099492167
AlcoholDrinking_No,0.061017487912156554
Race_White,0.060881491772917684
"Diabetic_No, borderline diabetes",0.049724025439793706
DiffWalking_Yes,0.040227209896293026
AgeCategory_55-59,0.020522778553456078
SkinCancer_No,0.00664419256580473
SkinCancer_Yes,-0.006644192565801177
DiffWalking_No,-0.04022720989642892
Race_Black,-0.04900762108046197
Race_Hispanic,-0.05538593347494292
AlcoholDrinking_Yes,-0.06101748791218453
PhysicalActivity_Yes,-0.06548362099501404
AgeCategory_50-54,-0.10482066053906891
Asthma_No,-0.1698001168628842
KidneyDisease_No,-0.17164299230131164
Smoking_No,-0.19388224237519935
Sex_Female,-0.27455409435614797
Diabetic_No,-0.38520753003659536
GenHealth_Very good,-0.4241257045663218
Race_Asian,-0.5274594734300235
Stroke_No,-0.5346291348244812
AgeCategory_45-49,-0.5393768968272639
AgeCategory_40-44,-0.591997628041014
AgeCategory_35-39,-0.6233522400693197
AgeCategory_30-34,-0.6356995333724376
AgeCategory_25-29,-0.7632283971446627
GenHealth_Excellent,-0.8467434004792267
AgeCategory_18-24,-0.8673960344829439
